ClusterID,Address,ClusterSize
0,0x98c1d8a5cd2e6fa559ba6ae0680b388b799ac231,2
0,0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3,2
1,0x2245aa1cd81344413a970d7efd8d49ac738c3a7b,2
1,0x3ee7a2741442cf024ad185d6757aa830c8b31e9d,2
2,0x986740c15007053c43702f69dc95b0e114ad7f30,2
2,0xd5a5a16f3dcae1b9fb55f94c8780bbbe8ef72f4a,2
3,0x01e73804f0d44a289d69930552bb408cafafa26d,2
3,0xc0d77bbc3aa2b8e74d89ee775828533eb35cff17,2
4,0x31e526401b645dd1c58c13bcf17976203a9585aa,2
4,0x0244b12a8c302f594a262d339adc3fefed16a7c8,2
5,0x028b0363ffd8c9dc545a4eb60c085177cd31436b,2
5,0x695cb15d501b4f9ca7a835e6493800d2c350c7cb,2
6,0x03e2c10b74a260f46ab5cf881938c5888a6142df,2
6,0xf4e2c4abd5eb497aecf640e9382d32fb83c118f0,2
7,0x040716834a0500e2ac7313f00baa52e8ff2a77fc,2
7,0xc2be5c1863688a8453bf79134adf3c7e9dfe28cc,2
8,0x0d779d67a428457cabec145a0f94703d14cd496b,3
8,0x0409b454db103199a9aee027f307b6a1cb830120,3
8,0xb419d6c355358a175c91c85bef776b5580925570,3
9,0xf07f6ecdcc8a624451cb55e0664b9c6e3a3ddd2d,2
9,0x04172ceb76fcae978c9503839725f89a37fa90ef,2
10,0x042dfd222025beb6a12a56417581025cd890e903,2
10,0xa4fe5ae07b33ca246757e747bedc6575f1b07fda,2
11,0xcab68f8a09d1fee8d78a0e27bc3d92e41b5f2d0c,2
11,0x04559c2ea16567279ea2659656400c9a3e750082,2
12,0x047d88fb98cb493385096dfba541e858713f2b66,2
12,0xf3f920843c1209463f24aa9ce606bca96c8a0255,2
13,0x209327b591aa003f4a7e3ae14d4e0e7198002c1a,2
13,0x04c1c15a1554891fb2dd7c4939e7d95d06ee253f,2
14,0x6d5e5ba88861df8dba0eb53ebad1ba89eb4b238b,4
14,0x86edb92e217605dbecf606548e48daaf1b817da1,4
14,0x50a83425d537e39a0b7f884dcc07e6f4f37a09f3,4
14,0x04e6e93513e4b73736d9d8bdd9a9599fc64026ca,4
15,0x0506d39effcaefbc632cbe72c36c4d64759a665f,2
15,0x3961178d550991bd4dbaccd3d685cd4d360c5d7e,2
16,0x051313b06e3c923fb7c8dc31526d90f009117811,2
16,0x091fe9f3de121a09b5c2f3cffea0bc914458cb92,2
17,0x055e84e4bbefeb43ae86f07a5e8197171e269270,2
17,0xee8f5dd980a661e734ba330005ded150d8226d3e,2
18,0x6b53d27ed12b5426bac92da370a3065124c7a0d6,71
18,0xe763a50710142b4053b9e628289949e08082cf65,71
18,0xe3478483a9a7ecd8cdde248ea43b48197b19e09e,71
18,0x9dc7f48f3c418e7f22042771a0cb18234192e939,71
18,0x8445165437cb63affb2f143378d0ec63e0249582,71
18,0xc183f0889e897a3ddeace022728eb8fe4971f04b,71
18,0xd6ebd7b8e94fd8f36c99beed7976b9fa096e4a39,71
18,0x0fc5b631fc452073dc5646f1a5cef6c7c4360511,71
18,0x8d4a025f44c0fc80e0647cf8480f9c937e059b23,71
18,0x2523821e4b9f849fa3f8b7dfc63218654c13a9ea,71
18,0xca9cbd376488dd77187e99864ba7ce1ff670cb69,71
18,0xd6c957f9a6411f35d01baae2658758f277408878,71
18,0x7e6d4810ea233d7588e3675d704571e29c4bcbba,71
18,0x4e40243efd7e849ebed0eb982a2bb99a8ac7bc07,71
18,0x8c976b2d3725fe86443a0d443f71ecbcf297e577,71
18,0x51777c0b8dba8b4dfe8a1c3d0a1edaa5b139b4e0,71
